01.04.2018 13:58:36 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1682
01.04.2018 13:58:36 [INFO] Method: get_exchange_info , Requests count: 1 , Average request time (ms): 796
01.04.2018 13:58:36 [INFO] Method: get_order_book , Requests count: 537 , Average request time (ms): 697
01.04.2018 14:00:06 [INFO] Method: get_order_book , Requests count: 592 , Average request time (ms): 747
01.04.2018 14:00:06 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1040
01.04.2018 14:01:36 [INFO] Method: get_order_book , Requests count: 587 , Average request time (ms): 758
01.04.2018 14:01:36 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1197
01.04.2018 14:03:06 [INFO] Method: get_order_book , Requests count: 596 , Average request time (ms): 753
01.04.2018 14:03:06 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1079
01.04.2018 14:04:36 [INFO] Method: get_order_book , Requests count: 592 , Average request time (ms): 714
01.04.2018 14:04:36 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 924
disconnect
01.04.2018 14:06:06 [INFO] Method: get_order_book , Requests count: 584 , Average request time (ms): 687
01.04.2018 14:06:06 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1077
01.04.2018 14:07:36 [INFO] Method: get_order_book , Requests count: 600 , Average request time (ms): 661
01.04.2018 14:07:36 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1078
01.04.2018 14:09:06 [INFO] Method: get_order_book , Requests count: 590 , Average request time (ms): 675
01.04.2018 14:09:06 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 858
01.04.2018 14:10:36 [INFO] Method: get_order_book , Requests count: 579 , Average request time (ms): 694
01.04.2018 14:10:36 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1025
01.04.2018 14:12:06 [INFO] Method: get_order_book , Requests count: 594 , Average request time (ms): 694
01.04.2018 14:12:06 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1193
01.04.2018 14:13:36 [INFO] Method: get_order_book , Requests count: 579 , Average request time (ms): 689
01.04.2018 14:15:06 [INFO] Method: get_order_book , Requests count: 584 , Average request time (ms): 682
01.04.2018 14:15:06 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 885
disconnect
01.04.2018 14:16:36 [INFO] Method: get_order_book , Requests count: 592 , Average request time (ms): 669
