01.04.2018 13:31:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1111
01.04.2018 13:32:30 [INFO] Method: get_order_book , Requests count: 578 , Average request time (ms): 647
01.04.2018 13:34:00 [INFO] Method: get_order_book , Requests count: 581 , Average request time (ms): 666
01.04.2018 13:34:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 800
01.04.2018 13:35:30 [INFO] Method: get_order_book , Requests count: 586 , Average request time (ms): 633
01.04.2018 13:35:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 911
01.04.2018 13:37:00 [INFO] Method: get_order_book , Requests count: 572 , Average request time (ms): 671
01.04.2018 13:37:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1015
01.04.2018 13:38:30 [INFO] Method: get_order_book , Requests count: 596 , Average request time (ms): 695
01.04.2018 13:38:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 927
01.04.2018 13:40:00 [INFO] Method: get_order_book , Requests count: 589 , Average request time (ms): 667
01.04.2018 13:40:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 834
01.04.2018 13:41:30 [INFO] Method: get_order_book , Requests count: 596 , Average request time (ms): 665
01.04.2018 13:41:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1148
01.04.2018 13:43:00 [INFO] Method: get_order_book , Requests count: 553 , Average request time (ms): 696
01.04.2018 13:43:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 873
01.04.2018 13:44:30 [INFO] Method: get_order_book , Requests count: 574 , Average request time (ms): 699
01.04.2018 13:44:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1090
01.04.2018 13:46:00 [INFO] Method: get_order_book , Requests count: 591 , Average request time (ms): 705
01.04.2018 13:46:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 796
01.04.2018 13:47:30 [INFO] Method: get_order_book , Requests count: 581 , Average request time (ms): 668
01.04.2018 13:47:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 910
01.04.2018 13:49:00 [INFO] Method: get_order_book , Requests count: 594 , Average request time (ms): 677
01.04.2018 13:49:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1104
01.04.2018 13:50:30 [INFO] Method: get_order_book , Requests count: 587 , Average request time (ms): 663
01.04.2018 13:52:00 [INFO] Method: get_order_book , Requests count: 593 , Average request time (ms): 656
01.04.2018 13:52:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1228
disconnect
01.04.2018 13:53:30 [INFO] Method: get_order_book , Requests count: 583 , Average request time (ms): 665
01.04.2018 13:53:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1186
