31.03.2018 23:54:52 [INFO] Method: get_pair_settings , Requests count: 1 , Average request time (ms): 660
31.03.2018 23:54:52 [INFO] Method: get_order_books , Requests count: 100 , Average request time (ms): 652
31.03.2018 23:56:22 [INFO] Method: get_order_books , Requests count: 102 , Average request time (ms): 656
31.03.2018 23:57:52 [INFO] Method: get_order_books , Requests count: 93 , Average request time (ms): 702
31.03.2018 23:59:22 [INFO] Method: get_order_books , Requests count: 102 , Average request time (ms): 644
01.04.2018 00:00:52 [INFO] Method: get_order_books , Requests count: 98 , Average request time (ms): 677
01.04.2018 00:02:22 [INFO] Method: get_order_books , Requests count: 99 , Average request time (ms): 681
01.04.2018 00:03:52 [INFO] Method: get_order_books , Requests count: 100 , Average request time (ms): 671
01.04.2018 00:05:22 [INFO] Method: get_order_books , Requests count: 99 , Average request time (ms): 677
01.04.2018 00:06:52 [INFO] Method: get_order_books , Requests count: 96 , Average request time (ms): 663
01.04.2018 00:08:22 [INFO] Method: get_order_books , Requests count: 91 , Average request time (ms): 684
01.04.2018 00:09:52 [INFO] Method: get_order_books , Requests count: 96 , Average request time (ms): 687
01.04.2018 00:11:22 [INFO] Method: get_order_books , Requests count: 96 , Average request time (ms): 675
01.04.2018 00:12:52 [INFO] Method: get_order_books , Requests count: 98 , Average request time (ms): 661
01.04.2018 00:14:22 [INFO] Method: get_order_books , Requests count: 57 , Average request time (ms): 680
01.04.2018 00:15:52 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 670
01.04.2018 00:17:22 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 648
01.04.2018 00:18:52 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 802
01.04.2018 00:20:22 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 615
01.04.2018 00:21:52 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 634
01.04.2018 00:23:22 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 957
01.04.2018 00:24:52 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 776
01.04.2018 00:26:22 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 662
01.04.2018 00:27:52 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 801
01.04.2018 00:29:22 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 773
01.04.2018 00:30:52 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 587
01.04.2018 00:32:22 [INFO] Method: get_order_books , Requests count: 1 , Average request time (ms): 610
